"games","country","gold","bronze","silver"
"1896 Summer","Australia",2,1,0
"1896 Summer","Austria",2,2,1
"1896 Summer","Denmark",1,3,2
"1896 Summer","France",5,2,4
"1896 Summer","Germany",25,2,5
"1896 Summer","Greece",10,20,18
"1896 Summer","Hungary",2,3,1
"1896 Summer","Switzerland",1,0,2
"1896 Summer","UK",3,3,3
"1896 Summer","USA",11,2,7
"1900 Summer","Australia",3,3,0
"1900 Summer","Austria",0,3,3
"1900 Summer","Belgium",6,13,24
"1900 Summer","Canada",1,1,0
"1900 Summer","Colombia",0,0,1
"1900 Summer","Cuba",1,0,1
"1900 Summer","Czech Republic",0,2,1
"1900 Summer","Denmark",4,2,3
"1900 Summer","France",52,82,101
"1900 Summer","Germany",14,11,20
"1900 Summer","Haiti",1,0,0
"1900 Summer","Hungary",1,2,2
"1900 Summer","India",0,0,2
"1900 Summer","Italy",3,0,2
"1900 Summer","Luxembourg",1,0,0
"1900 Summer","Mexico",0,3,0
"1900 Summer","Netherlands",3,16,8
"1900 Summer","New Zealand",1,0,0
"1900 Summer","Norway",0,3,6
"1900 Summer","Spain",2,0,0
"1900 Summer","Sweden",3,1,0
"1900 Summer","Switzerland",16,1,4
"1900 Summer","UK",59,15,34
"1900 Summer","USA",30,17,16
"1904 Summer","Australia",0,1,3
"1904 Summer","Austria",2,1,1
"1904 Summer","Canada",27,12,9
"1904 Summer","Cuba",5,0,0
"1904 Summer","France",0,0,2
"1904 Summer","Germany",4,7,5
"1904 Summer","Greece",1,1,0
"1904 Summer","Hungary",2,1,1
"1904 Summer","Norway",2,0,0
"1904 Summer","Switzerland",1,2,0
"1904 Summer","UK",1,0,1
"1904 Summer","USA",128,125,141
"1906 Summer","Australia",0,3,0
"1906 Summer","Austria",3,3,3
"1906 Summer","Belgium",2,6,3
"1906 Summer","Canada",1,0,1
"1906 Summer","Czech Republic",0,3,0
"1906 Summer","Denmark",14,1,19
"1906 Summer","Finland",2,1,1
"1906 Summer","France",20,28,16
"1906 Summer","Germany",14,6,10
"1906 Summer","Greece",24,30,48
"1906 Summer","Hungary",5,3,5
"1906 Summer","Italy",21,27,8
"1906 Summer","Netherlands",0,5,1
"1906 Summer","Norway",20,0,5
"1906 Summer","Sweden",2,14,5
"1906 Summer","Switzerland",8,1,3
"1906 Summer","UK",9,8,22
"1906 Summer","USA",12,6,6
"1908 Summer","Australia",15,2,2
"1908 Summer","Austria",0,1,0
"1908 Summer","Belgium",1,8,24
"1908 Summer","Canada",14,30,8
"1908 Summer","Czech Republic",0,6,0
"1908 Summer","Denmark",0,3,14
"1908 Summer","Finland",1,28,1
"1908 Summer","France",12,23,5
"1908 Summer","Germany",4,6,11
"1908 Summer","Greece",0,1,3
"1908 Summer","Hungary",7,6,7
"1908 Summer","Italy",2,0,6
"1908 Summer","Netherlands",0,16,0
"1908 Summer","Norway",7,3,32
"1908 Summer","Russia",1,0,2
"1908 Summer","South Africa",1,0,1
"1908 Summer","Sweden",48,18,18
"1908 Summer","UK",147,90,131
"1908 Summer","USA",34,15,16
"1912 Summer","Australia",5,3,2
"1912 Summer","Austria",0,5,9
"1912 Summer","Belgium",7,11,1
"1912 Summer","Canada",3,3,2
"1912 Summer","Denmark",5,33,49
"1912 Summer","Finland",9,22,40
"1912 Summer","France",10,5,11
"1912 Summer","Germany",11,23,19
"1912 Summer","Greece",1,1,0
"1912 Summer","Hungary",10,3,17
"1912 Summer","Italy",22,2,1
"1912 Summer","Netherlands",0,26,0
"1912 Summer","Norway",40,34,6
"1912 Summer","Russia",0,9,5
"1912 Summer","South Africa",5,0,2
"1912 Summer","Sweden",103,25,62
"1912 Summer","Switzerland",2,0,0
"1912 Summer","UK",47,59,64
"1912 Summer","USA",46,36,25
"1920 Summer","Australia",0,1,6
"1920 Summer","Belgium",57,66,65
"1920 Summer","Brazil",1,5,1
"1920 Summer","Canada",10,3,3
"1920 Summer","Czech Republic",0,10,0
"1920 Summer","Denmark",26,1,44
"1920 Summer","Estonia",1,0,2
"1920 Summer","Finland",21,17,14
"1920 Summer","France",13,57,71
"1920 Summer","Greece",0,0,5
"1920 Summer","Italy",67,8,9
"1920 Summer","Japan",0,0,3
"1920 Summer","Luxembourg",0,0,1
"1920 Summer","Netherlands",15,25,10
"1920 Summer","New Zealand",0,1,0
"1920 Summer","Norway",58,27,52
"1920 Summer","South Africa",3,6,12
"1920 Summer","Spain",0,0,23
"1920 Summer","Sweden",52,64,38
"1920 Summer","Switzerland",6,21,2
"1920 Summer","UK",52,17,42
"1920 Summer","USA",111,38,45
"1924 Summer","Argentina",5,2,3
"1924 Summer","Australia",3,2,5
"1924 Summer","Austria",0,1,3
"1924 Summer","Belgium",3,6,30
"1924 Summer","Canada",0,1,19
"1924 Summer","Czech Republic",1,5,4
"1924 Summer","Denmark",2,3,9
"1924 Summer","Estonia",1,4,1
"1924 Summer","Finland",24,15,13
"1924 Summer","France",37,22,51
"1924 Summer","Greece",1,0,0
"1924 Summer","Haiti",0,5,0
"1924 Summer","Hungary",2,8,12
"1924 Summer","Ireland",0,1,1
"1924 Summer","Italy",25,21,5
"1924 Summer","Japan",0,1,0
"1924 Summer","Luxembourg",1,0,1
"1924 Summer","Monaco",0,1,0
"1924 Summer","Netherlands",8,18,1
"1924 Summer","New Zealand",0,1,0
"1924 Summer","Norway",14,3,5
"1924 Summer","Poland",0,1,4
"1924 Summer","Portugal",0,4,0
"1924 Summer","Romania",0,16,0
"1924 Summer","Serbia",2,0,0
"1924 Summer","South Africa",1,1,1
"1924 Summer","Sweden",7,43,22
"1924 Summer","Switzerland",14,21,25
"1924 Summer","UK",15,19,30
"1924 Summer","Uruguay",14,0,0
"1924 Summer","USA",97,49,36
"1924 Winter","Australia",1,0,0
"1924 Winter","Austria",3,0,1
"1924 Winter","Belgium",0,5,0
"1924 Winter","Canada",9,0,0
"1924 Winter","Finland",4,3,8
"1924 Winter","France",0,10,0
"1924 Winter","India",7,0,0
"1924 Winter","Nepal",1,0,0
"1924 Winter","Norway",4,6,7
"1924 Winter","Sweden",1,0,8
"1924 Winter","Switzerland",8,1,0
"1924 Winter","UK",16,11,4
"1924 Winter","USA",1,1,10
"1928 Summer","Argentina",3,5,18
"1928 Summer","Australia",1,1,2
"1928 Summer","Austria",3,2,0
"1928 Summer","Belgium",0,4,1
"1928 Summer","Canada",7,21,5
"1928 Summer","Chile",0,0,1
"1928 Summer","Czech Republic",2,2,12
"1928 Summer","Denmark",6,4,5
"1928 Summer","Egypt",2,1,1
"1928 Summer","Estonia",2,6,1
"1928 Summer","Finland",8,9,8
"1928 Summer","France",12,14,24
"1928 Summer","Germany",21,41,15
"1928 Summer","Haiti",0,0,1
"1928 Summer","Hungary",10,0,11
"1928 Summer","India",14,0,0
"1928 Summer","Ireland",1,0,0
"1928 Summer","Italy",24,26,22
"1928 Summer","Japan",2,1,6
"1928 Summer","Luxembourg",1,0,0
"1928 Summer","Netherlands",20,8,29
"1928 Summer","New Zealand",1,0,0
"1928 Summer","Norway",4,1,4
"1928 Summer","Philippines",0,1,0
"1928 Summer","Poland",2,15,3
"1928 Summer","Portugal",0,6,0
"1928 Summer","Serbia",1,10,1
"1928 Summer","South Africa",1,5,0
"1928 Summer","Spain",3,0,0
"1928 Summer","Sweden",7,22,8
"1928 Summer","Switzerland",16,4,10
"1928 Summer","UK",7,24,27
"1928 Summer","Uruguay",17,0,0
"1928 Summer","USA",47,17,24
"1928 Winter","Austria",0,2,4
"1928 Winter","Belgium",0,1,0
"1928 Winter","Canada",12,0,0
"1928 Winter","Czech Republic",0,1,0
"1928 Winter","Finland",2,1,1
"1928 Winter","France",2,0,0
"1928 Winter","Germany",0,5,0
"1928 Winter","Norway",6,5,4
"1928 Winter","Sweden",2,1,13
"1928 Winter","Switzerland",0,12,0
"1928 Winter","UK",0,1,0
"1928 Winter","USA",6,2,6
"1932 Summer","Argentina",3,0,1
"1932 Summer","Australia",3,1,1
"1932 Summer","Austria",1,3,1
"1932 Summer","Belgium",0,1,0
"1932 Summer","Canada",2,24,13
"1932 Summer","Czech Republic",1,2,3
"1932 Summer","Denmark",0,4,7
"1932 Summer","Finland",5,16,8
"1932 Summer","France",26,6,8
"1932 Summer","Germany",10,7,26
"1932 Summer","Hungary",20,8,5
"1932 Summer","India",15,0,0
"1932 Summer","Ireland",2,0,0
"1932 Summer","Italy",21,18,38
"1932 Summer","Japan",10,4,17
"1932 Summer","Latvia",0,0,1
"1932 Summer","Mexico",0,0,2
"1932 Summer","Netherlands",2,1,10
"1932 Summer","New Zealand",0,0,2
